name_gpu,num_gpu,ssd,bert_base_squad,bert_large_squad,gnmt,maskrcnn,ncf,resnet50,tacotron2,transformerxlbase,transformerxllarge,waveglow
2x RTX 3070,2.0,134.0,46.0,3.0,13928.0,13.0,3061946.0,460.0,7468.0,4265.0,0.0,0.0
2x RTX 3080,2.0,213.0,78.0,7.0,35709.0,21.0,17857721.0,735.0,16813.0,9987.0,0.0,44701.0
2x RTX 3090,2.0,265.0,126.0,25.0,66714.0,26.0,26233903.0,922.0,38134.0,23227.0,8033.0,122095.0
3x RTX 3090,3.0,390.0,189.0,38.0,97857.0,39.0,37775221.0,1350.0,60887.0,34553.0,11980.0,199782.0
4x RTX 3070,4.0,267.0,91.0,5.0,25854.0,24.0,5123234.0,914.0,14377.0,8262.0,0.0,0.0
4x RTX 3090,4.0,499.0,142.0,16.0,56262.0,43.0,36173274.0,1839.0,69486.0,46536.0,16046.0,128004.0
8x RTX 3070,8.0,460.0,110.0,4.0,21406.0,36.0,3897660.0,1602.0,27594.0,16950.0,0.0,0.0
8x RTX 3090,8.0,888.0,180.0,16.0,57848.0,68.0,55061665.0,3654.0,110936.0,92420.0,32181.0,149340.0
2x A100 40GB PCIe,2.0,458.0,278.0,71.0,180511.0,45.0,46209509.0,1484.0,60666.0,42715.0,19428.0,268519.0
4x A100 40GB PCIe,4.0,915.0,533.0,133.0,338788.0,87.0,91485035.0,2856.0,122504.0,85054.0,38989.0,517667.0
8x A100 40GB PCIe,8.0,1825.0,1025.0,248.0,646381.0,159.0,182635805.0,5643.0,238277.0,170197.0,77915.0,986515.0
2x A100 40GB SXM4,2.0,498.0,302.0,77.0,204767.0,46.0,47589711.0,1588.0,60927.0,45884.0,21626.0,278553.0
4x A100 40GB SXM4,4.0,992.0,594.0,150.0,405743.0,92.0,95040183.0,3027.0,120072.0,91172.0,43152.0,536843.0
8x A100 40GB SXM4,8.0,1960.0,1150.0,291.0,809917.0,168.0,190036225.0,5966.0,242109.0,180215.0,85065.0,1006908.0
8x RTX A6000,8.0,1057.0,701.0,178.0,410639.0,93.0,125381524.0,3434.0,178563.0,109421.0,49149.0,721225.0
4x RTX A6000,4.0,530.0,361.0,93.0,214563.0,48.0,62726684.0,1725.0,88397.0,54889.0,24652.0,361094.0
2x RTX A6000,2.0,268.0,184.0,49.0,112241.0,24.0,27992554.0,870.0,46882.0,27691.0,12186.0,184704.0
4x RTX A5000,4.0,463.0,281.0,51.0,99794.0,49.0,50874610.0,1600.0,72417.0,32381.0,13672.0,127349.0
2x RTX A5000,2.0,231.0,142.0,26.0,51333.0,25.0,21640206.0,804.0,35390.0,16308.0,6865.0,66907.0
8x RTX A40,8.0,876.0,461.0,140.0,272286.0,91.0,101321284.0,3086.0,140548.0,76977.0,28249.0,733283.0
4x RTX A40,4.0,439.0,240.0,73.0,141127.0,48.0,50672746.0,1546.0,77361.0,38272.0,14096.0,262405.0
2x RTX A40,2.0,220.0,120.0,38.0,72169.0,25.0,22684763.0,776.0,43351.0,19245.0,7066.0,141801.0
8x RTX A4000,8.0,588.0,293.0,54.0,108923.0,59.0,55965442.0,1981.0,64695.0,48680.0,14146.0,165046.0
4x RTX A4000,4.0,296.0,166.0,30.0,57215.0,31.0,25581148.0,1001.0,32162.0,24404.0,4725.0,90230.0
2x RTX A4000,2.0,149.0,86.0,16.0,30115.0,16.0,13223409.0,504.0,18469.0,12429.0,3562.0,47057.0
p4d.24xlarge,8.0,1975.0,1100.0,278.0,800172.0,161.0,189675972.0,6197.0,178252.0,178244.0,86678.0,1001275.0
